"Story","Title","Result","Date","Stability","Duration (s)"
"User CRUD test","This will create a new user","SUCCESS","2023-06-06T23:42:56.891+01:00[Europe/London]","0.0","6.87"
"User CRUD test","This will update user","SUCCESS","2023-06-06T23:43:04.703+01:00[Europe/London]","0.0","1.37"
